"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-05","0.00","0.0","0.0","99","58","62"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-06","0.00","0.0","0.0","95","59","62"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-07","0.00","0.0","0.0","96","59","64"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-08","0.00","0.0","0.0","95","59","66"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-09","0.00","0.0","0.0","95","61","68"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-10","0.00","0.0","0.0","99","96","72"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-11","0.00","0.0","0.0","106","68","72"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-12","0.03","0.0","0.0","107","70","79"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-13","0.00","0.0","0.0","104","68","76"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-14","0.00","0.0","0.0","105","70","79"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-15","0.00","0.0","0.0","104","73","77"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-16","0.00","0.0","0.0","104","72","80"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-17","0.00","0.0","0.0","106","71","81"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-18","0.00","0.0","0.0","106","66","76"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-19","0.00","0.0","0.0","106","72","82"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-20","0.00","0.0","0.0","107","74","80"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-21","0.00","0.0","0.0","105","61","66"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-22","0.00","0.0","0.0","93","48","58"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-23","0.00","0.0","0.0","86","53","60"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-24","0.00","0.0","0.0","93","59","72"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-25","0.00","0.0","0.0","95","55","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-26","0.00","0.0","0.0","93","57","65"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-27","0.00","0.0","0.0","99","64","75"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-28","0.00","0.0","0.0","104","62","65"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-29","0.00","0.0","0.0","94","61","63"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-30","0.02","0.0","0.0","88","55","60"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-08-31","0.00","0.0","0.0","82","51","58"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-01","0.00","0.0","0.0","85","54","78"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-02","0.00","0.0","0.0","88","58","61"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-03","0.00","0.0","0.0","87","55","57"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-04","0.00","0.0","0.0","79","51","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-05","0.00","0.0","0.0","86","56","61"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-06","0.00","0.0","0.0","90","54","56"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-07","0.00","0.0","0.0","88","53","60"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-08","0.00","0.0","0.0","95","54","58"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-09","0.00","0.0","0.0","94","56","58"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-10","0.00","0.0","0.0","96","57","59"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-09-11","0.00","0.0","0.0","93","57","58"
